,safegraph_place_id,longitude,latitude,cbg,visits,hotspot_origin,hotspot_destination,cbg_longitude,cbg_latitude,top_category
0,sg:0131ec7f99a34fa4a158f7c623cfd5c9,-75.11318299999999,39.980503000000006,340155012023,4,False,False,-75.0828253,39.75171160000001,Restaurants and Other Eating Places
1,sg:69ec5b76b41949aeb8c832bb3943bb40,-75.174402,39.892124,340155012023,4,False,False,-75.0828253,39.75171160000001,Grocery Stores
2,sg:14a2a83e1b9042e8acd41b9d5066e982,-75.029891,40.077943,420454062021,4,False,False,-75.3910932,39.8813634,Automobile Dealers
3,sg:e74e762ad28e4fe2b84fdc33e035243b,-74.975184,40.09561,420454062021,4,False,False,-75.3910932,39.8813634,Restaurants and Other Eating Places
4,sg:0455b93cd90b4db08fc7706feaca6369,-75.387446,39.884295,420454062021,6,False,True,-75.3910932,39.8813634,"Museums, Historical Sites, and Similar Institutions"
5,sg:17ca9163e1264a338663c272f48e5437,-75.18849300000001,39.921774,420454032003,4,False,False,-75.2901595,39.9186844,
6,sg:bf1fdc2a66944661a00aca820547e7b8,-75.158748,40.066142,420454032003,4,False,False,-75.2901595,39.9186844,Restaurants and Other Eating Places
7,sg:1a6cf30fdd8b400ca180a8726430556e,-75.168968,39.926215,420454032003,4,False,False,-75.2901595,39.9186844,Florists
8,sg:1a3ab49c52c74de9b452db6f30fbada7,-75.0958,40.005618,421010298004,6,True,True,-75.066223,40.01310720000001,Restaurants and Other Eating Places
9,sg:4a0c7741ee964f46a282d1552702b68b,-75.06844,40.013124,421010298004,7,True,True,-75.066223,40.01310720000001,Grocery Stores
10,sg:6d234aa5415945ac987fe000b0bc41c0,-75.067001,40.013736,421010298004,4,True,False,-75.066223,40.01310720000001,Automotive Repair and Maintenance
11,sg:645578d760ab4fdb8b2839c91d119a70,-75.06609399999999,40.012423,421010298004,11,True,True,-75.066223,40.01310720000001,Grocery Stores
12,sg:01c7745c6d20405c9c95f45626efdc8e,-75.067921,40.013548,421010298004,11,True,True,-75.066223,40.01310720000001,Restaurants and Other Eating Places
13,sg:42103693e2c34198b6811058ee99935f,-75.065907,40.014452,421010298004,16,True,True,-75.066223,40.01310720000001,Restaurants and Other Eating Places
14,sg:bc8b48dfd5734efeaf9d509068552e5f,-75.06811400000001,40.011916,421010298004,12,True,True,-75.066223,40.01310720000001,Grocery Stores
15,sg:f5e8bfc5d6a94f2488bf77541ddd5630,-75.065392,40.012446000000004,421010298004,12,True,True,-75.066223,40.01310720000001,"Sporting Goods, Hobby, and Musical Instrument Stores"
16,sg:b0ea4b4c511548baa17b4222e995841b,-75.067619,40.014028,421010298004,12,True,True,-75.066223,40.01310720000001,Health and Personal Care Stores
17,sg:6d41b0f9df70465083a65a3430cbfb65,-75.065066,40.014904,421010298004,6,True,True,-75.066223,40.01310720000001,"Beer, Wine, and Liquor Stores"
18,sg:73d73c0f5fed4daab4623cca23c7a64e,-75.064291,40.012995000000004,421010298004,6,True,True,-75.066223,40.01310720000001,Other Amusement and Recreation Industries
19,sg:0e1e30b4f0ab47c3a67f05e59c5b29c6,-75.076764,40.022989,421010298004,8,True,True,-75.066223,40.01310720000001,Restaurants and Other Eating Places
20,sg:1f059cf60ee442b78cb551c474952294,-75.175152,39.928672,421010024005,5,True,False,-75.16397640000001,39.93799370000001,Electronics and Appliance Stores
21,sg:8a7b81d0230f4fbb88b9eb0db5d36eae,-75.163989,39.938882,421010024005,4,True,False,-75.16397640000001,39.93799370000001,Other Miscellaneous Store Retailers
22,sg:df828d327bbd48d7bc01ef8a78788805,-75.163756,39.938922,421010024005,5,True,False,-75.16397640000001,39.93799370000001,"Sporting Goods, Hobby, and Musical Instrument Stores"
23,sg:f53e06df598e442a8dfb653675cec9b4,-75.16189,39.931,421010024005,4,True,False,-75.16397640000001,39.93799370000001,"Office Supplies, Stationery, and Gift Stores"
24,sg:003e2a7b3632476fa0ae7164d1516d60,-75.16368,39.938919,421010024005,6,True,True,-75.16397640000001,39.93799370000001,Book Stores and News Dealers
25,sg:8366e0f4dcd44f23a88a61941a70863b,-75.163338,39.937124,421010024005,4,True,False,-75.16397640000001,39.93799370000001,Offices of Dentists
26,sg:707b790a52f6425db6f17c19481ef0ed,-75.162638,39.936603999999996,421010024005,9,True,True,-75.16397640000001,39.93799370000001,Restaurants and Other Eating Places
27,sg:530a19093e9143c698b8fabe4b5a79af,-75.151726,39.94214,421010024005,4,True,False,-75.16397640000001,39.93799370000001,Book Stores and News Dealers
28,sg:9bc0f2aafbba44c5b3049b930ee433af,-75.17946500000001,39.973852,421010024005,4,True,False,-75.16397640000001,39.93799370000001,Restaurants and Other Eating Places
29,sg:0bf7d07d3d8d4219a0da6075b7d9c6e0,-75.160351,39.947806,421010024005,4,True,False,-75.16397640000001,39.93799370000001,Restaurants and Other Eating Places
30,sg:1f2aabafaeff48cdaaf3c510b457fd88,-75.159531,39.974794,421010244002,4,True,False,-75.16201459999999,40.0245913,Religious Organizations
31,sg:16547205678d4622b48f3b0d669cfdd4,-75.288531,39.942513,421010244002,5,True,False,-75.16201459999999,40.0245913,"Museums, Historical Sites, and Similar Institutions"
32,sg:d229de69de824e1aaf594a70fd08431b,-75.161681,40.022973,421010244002,7,True,True,-75.16201459999999,40.0245913,Beverage Manufacturing
33,sg:91865112789b441794c70e8acf2727cf,-75.158829,39.972114000000005,421010244002,4,True,False,-75.16201459999999,40.0245913,Restaurants and Other Eating Places
34,sg:4b07d64cf5f0471ab7d190187af1eba3,-75.163074,40.025688,421010244002,7,True,True,-75.16201459999999,40.0245913,Grocery Stores
35,sg:317c699ccb3d4970b43fbec247bdb61b,-75.163256,40.02333,421010244002,12,True,True,-75.16201459999999,40.0245913,Specialty Food Stores
36,sg:554f36e9c43b4ff2b1944478089e58e1,-75.161202,40.02588,421010244002,14,True,True,-75.16201459999999,40.0245913,"Museums, Historical Sites, and Similar Institutions"
37,sg:0998a4d4a4724970b57187ef899e0357,-75.037881,40.038166,421010244002,4,True,False,-75.16201459999999,40.0245913,Building Material and Supplies Dealers
38,sg:d1923fcca4e74598b71d6c34bd6f1427,-75.176056,40.034053,421010244002,4,True,False,-75.16201459999999,40.0245913,Other Information Services
39,sg:65e08fc79f374b56a655bde3afefe147,-75.158449,39.977874,421010244002,4,True,False,-75.16201459999999,40.0245913,Restaurants and Other Eating Places
40,sg:217d15074ef449c797859c81bbe69977,-75.238027,40.060235999999996,421010271002,4,True,False,-75.12416879999999,40.047391499999996,Offices of Physicians
41,sg:f86cd99e7c3d4354b2109021c191062a,-75.123145,40.04657,421010271002,7,True,True,-75.12416879999999,40.047391499999996,Elementary and Secondary Schools
42,sg:4246efe90139498b95e41a1d1b33eb75,-75.061431,40.049681,421010271002,7,True,True,-75.12416879999999,40.047391499999996,"Office Supplies, Stationery, and Gift Stores"
43,sg:e7518fb1e0294d0684c4dad463adcb41,-75.123902,40.048792,421010271002,6,True,True,-75.12416879999999,40.047391499999996,Other Amusement and Recreation Industries
44,sg:cdc967256f1e4d4799c37104e8750c8e,-75.154886,39.990666,421010271002,7,True,True,-75.12416879999999,40.047391499999996,"Automotive Parts, Accessories, and Tire Stores"
45,sg:6671596c9ee248fc8d60ce5aa9057114,-75.118925,40.045790000000004,421010271002,4,True,False,-75.12416879999999,40.047391499999996,Restaurants and Other Eating Places
46,sg:0566e6a76f77429fa667b066ed516566,-75.167934,39.930581,421010271002,7,True,True,-75.12416879999999,40.047391499999996,Restaurants and Other Eating Places
47,sg:2514d03e918e4091b5e4bcd51231a6a4,-75.19394399999999,39.954747,421010369003,20,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
48,sg:0f0af8452aac4ef19b0dd61c8abc8da3,-75.193871,39.950936,421010369003,8,True,True,-75.1884127,39.9546914,"Beer, Wine, and Liquor Stores"
49,sg:ecb590b01e304ffc942f04a12b21804d,-75.192644,39.953047,421010369003,8,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
50,sg:02cd72d530cc432a936ee5078120d043,-75.17265,39.950495000000004,421010369003,5,True,False,-75.1884127,39.9546914,Clothing Stores
51,sg:8dcab023db6c4ed68acdfc8b72948117,-75.186329,39.949798,421010369003,10,True,True,-75.1884127,39.9546914,"Museums, Historical Sites, and Similar Institutions"
52,sg:758c76d2701346bb91d6490103ec7f6c,-75.218793,39.953022,421010369003,4,True,False,-75.1884127,39.9546914,Restaurants and Other Eating Places
53,sg:2f58cec456d24d9a85c063d955219d86,-75.187325,39.952433,421010369003,10,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
54,sg:15e9c57de4224012a16c8ac3336b4f69,-75.18337,39.952671,421010369003,17,True,True,-75.1884127,39.9546914,"Museums, Historical Sites, and Similar Institutions"
55,sg:b0b81b5912274946bfea79998397a065,-75.193348,39.953603,421010369003,12,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
56,sg:35d870e981ac4bf3a63515bb975f2d62,-75.182448,39.954005,421010369003,16,True,True,-75.1884127,39.9546914,Child Day Care Services
57,sg:8c63e7226073408fa396336cc36e9c9a,-75.202849,39.953722,421010369003,8,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
58,sg:5de8c78bc802409293dfcb3661c6ce4c,-75.201938,39.955870000000004,421010369003,7,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
59,sg:b0ebcd36374e45dbaf9232807f691112,-75.18680400000001,39.946815,421010369003,5,True,False,-75.1884127,39.9546914,"Museums, Historical Sites, and Similar Institutions"
60,sg:428bc550c3684399b57f15eecbb8fd63,-75.14969599999999,39.94197,421010369003,4,True,False,-75.1884127,39.9546914,Health and Personal Care Stores
61,sg:e375de65630a49b981ff8a40001ad23a,-75.218614,39.953156,421010369003,4,True,False,-75.1884127,39.9546914,Restaurants and Other Eating Places
62,sg:2b37ae831a3543218c185dc7fa5810e2,-75.192847,39.953321,421010369003,69,True,True,-75.1884127,39.9546914,Lessors of Real Estate
63,sg:828bf9197d3b45b4865a3531ecae7dae,-75.183576,39.954732,421010369003,8,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
64,sg:d8e253d8737547119e6d436bcf94a690,-75.19334,39.951823,421010369003,175,True,True,-75.1884127,39.9546914,Junior Colleges
65,sg:d6f9e3b7fe8a4b3bbd8ba5c37dcd631a,-75.203345,39.951483,421010369003,5,True,False,-75.1884127,39.9546914,Restaurants and Other Eating Places
66,sg:8b5e98ec43884aad9394592de96c36fe,-75.193275,39.954634999999996,421010369003,4,True,False,-75.1884127,39.9546914,Other Schools and Instruction
67,sg:76dabc82cc4e45d6bb1c1d26ffa00441,-75.183301,39.953034,421010369003,19,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
68,sg:b2303eff3cd342058bf0fa21468c9166,-75.181506,39.950747,421010369003,4,True,False,-75.1884127,39.9546914,Other Amusement and Recreation Industries
69,sg:ac241bb5a78a42bfb9bf853cf1c16496,-75.183561,39.952739,421010369003,6,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
70,sg:783f0d189b334c478568f2a8523afa4f,-75.18735500000001,39.952448,421010369003,7,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
71,sg:aac3cdb351914019aad67c1168673dd8,-75.19202,39.954826000000004,421010369003,22,True,True,-75.1884127,39.9546914,Grocery Stores
72,sg:1cd33f15cfba4ec4b4743fa9a89957ea,-75.192595,39.953035,421010369003,16,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
73,sg:a167fc1bb9044bc08a92d9e53416a68b,-75.192302,39.953022,421010369003,9,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
74,sg:a72582d8d8f84aa5a6c2116714df4ab5,-75.183593,39.954715,421010369003,5,True,False,-75.1884127,39.9546914,Restaurants and Other Eating Places
75,sg:8723d968466649d2af0895969adb4bb4,-75.19228000000001,39.953011,421010369003,19,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
76,sg:37885c49f2774cc0a5fe05b63d20d824,-75.217376,40.035959000000005,421010369003,9,True,True,-75.1884127,39.9546914,Gasoline Stations
77,sg:f05110c3a1ad4942ba4101580f2c9699,-75.19472900000001,39.954053,421010369003,8,True,True,-75.1884127,39.9546914,Other Miscellaneous Store Retailers
78,sg:086763b8b3aa4712b92f8789458b814c,-75.19476800000001,39.954512,421010369003,9,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
79,sg:134675e6db3a436baa85c9317dc7683b,-75.195144,39.952909000000005,421010369003,6,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
80,sg:9e55d251355045bdba9b6dc0c4684d76,-75.17285600000001,39.958141999999995,421010369003,4,True,False,-75.1884127,39.9546914,Restaurants and Other Eating Places
81,sg:9384060a36074f6b86f6936327ac4c84,-75.195311,39.953413,421010369003,7,True,True,-75.1884127,39.9546914,Book Stores and News Dealers
82,sg:d5ad5dd468844bf89d205f3d1da20462,-75.176439,39.952181,421010369003,6,True,True,-75.1884127,39.9546914,Other Amusement and Recreation Industries
83,sg:f56498354f1a4808a8208cb2b92449d4,-75.192214,39.953142,421010369003,10,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
84,sg:946240935be34eec91b4ef6459cf59b1,-75.19274200000001,39.953055,421010369003,17,True,True,-75.1884127,39.9546914,"Museums, Historical Sites, and Similar Institutions"
85,sg:e29e3f00835b40b789b6d3a79fd1617c,-75.05233100000001,40.043696000000004,421010369003,10,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
86,sg:0cc38ff381fe4919a58857a27d0cfd49,-75.192201,39.953158,421010369003,7,True,True,-75.1884127,39.9546914,Clothing Stores
87,sg:3a28ae90f71748d09bf31ac7be035a9c,-75.189403,39.953734999999995,421010369003,4,True,False,-75.1884127,39.9546914,
88,sg:8bdf5dfea9fc40e29ac37a90c07cf941,-75.199885,39.954375,421010369003,7,True,True,-75.1884127,39.9546914,Restaurants and Other Eating Places
89,sg:2b9ee74a31254cb88faa8e6fd4599bef,-75.240062,39.960158,421010083022,6,True,True,-75.2411966,39.9598684,Child Day Care Services
90,sg:a444d6a14d8445a2a901c13ff75d1e0b,-75.241355,39.961807,421010083022,4,True,False,-75.2411966,39.9598684,
91,sg:21576143ba974799bc8c63b3003d16e5,-75.11645899999999,39.980064,421010083022,4,True,False,-75.2411966,39.9598684,Restaurants and Other Eating Places
92,sg:7f21891322b14fdea78c1822b71b5f2e,-75.243349,39.960546,421010083022,6,True,True,-75.2411966,39.9598684,Elementary and Secondary Schools
93,sg:17ae327fe0c440fc88dcfb6a899e91d0,-75.240619,39.959140999999995,421010083022,4,True,False,-75.2411966,39.9598684,Elementary and Secondary Schools
94,sg:96e87b3c04a0456a8536cb44e667d5a4,-75.237063,39.961749,421010083022,5,True,False,-75.2411966,39.9598684,Religious Organizations
95,sg:d78e529ba32f4d9f98503ac8d500eec8,-75.24045799999999,39.961681,421010083022,5,True,False,-75.2411966,39.9598684,Restaurants and Other Eating Places
96,sg:9700235006914d1387f155ababcfacb1,-75.241887,39.958725,421010083022,7,True,True,-75.2411966,39.9598684,Child Day Care Services
97,sg:7197de6592964ec1815f56ddfe2a33dd,-75.240599,39.960162,421010083022,17,True,True,-75.2411966,39.9598684,Restaurants and Other Eating Places
98,sg:b5e2c9cce61c46838b246fe9f3651892,-75.132773,39.967871,421010083022,6,True,True,-75.2411966,39.9598684,"Museums, Historical Sites, and Similar Institutions"
99,sg:9757072445144b519bb81ec5a8b602d2,-75.208099,40.076834000000005,421010083022,4,True,False,-75.2411966,39.9598684,Clothing Stores
100,sg:3a4889d03c0a418395e9c9e52ca812b8,-75.24124599999999,39.958769000000004,421010083022,11,True,True,-75.2411966,39.9598684,Restaurants and Other Eating Places
101,sg:f78d3bb7e0404333a079476d9bcae69e,-75.24335699999999,39.960565,421010083022,8,True,True,-75.2411966,39.9598684,Child Day Care Services
102,sg:077c22bf7574432085dcf05b96cd4403,-75.239019,39.969268,421010083022,4,True,False,-75.2411966,39.9598684,Child Day Care Services
103,sg:56da412620fb4a3dbad24e4b5ab69cb5,-75.241259,39.960941,421010083022,10,True,True,-75.2411966,39.9598684,Restaurants and Other Eating Places
104,sg:dbad602054b2414f8c2dc03d6cb973d8,-75.241478,39.959633000000004,421010083022,5,True,False,-75.2411966,39.9598684,Restaurants and Other Eating Places
105,sg:09774755ffca45dcb992173773288801,-75.205366,39.970618,421010083022,7,True,True,-75.2411966,39.9598684,Elementary and Secondary Schools
106,sg:a5fe1f677f9644d2a466fb81779dcf16,-75.240955,39.961763,421010083022,6,True,True,-75.2411966,39.9598684,Restaurants and Other Eating Places
107,sg:9f1a4c42661b466c8f47421b4ecf641a,-75.23464799999999,39.961412,421010083022,4,True,False,-75.2411966,39.9598684,Health and Personal Care Stores
108,sg:35e7c9ecd48340068644e8ad7a5e4e01,-75.156529,39.968051,421010167011,4,True,False,-75.1606598,39.9923581,Grocery Stores
109,sg:fd8c72f2251f47bd9eb20ffc615b0e14,-75.14402199999999,40.038331,421010167011,4,True,False,-75.1606598,39.9923581,Offices of Physicians
110,sg:f571ba338fe942a0a2e7906212258169,-75.16076,39.991496000000005,421010167011,9,True,True,-75.1606598,39.9923581,Grocery Stores
111,sg:e03ec7e8b38242c1bfef0f5c0fe67907,-75.160645,39.993259,421010167011,23,True,True,-75.1606598,39.9923581,Child Day Care Services
112,sg:691b41f72672485abd5e0aa34c1b363b,-75.13474000000001,40.028431,421010167011,4,True,False,-75.1606598,39.9923581,Automotive Repair and Maintenance
113,sg:0a8b942c2fbc48c6a844d54577375bdc,-75.20823399999999,40.075415,421010167011,5,True,False,-75.1606598,39.9923581,Offices of Physicians
114,sg:4c27c54caf2c468cacd80d0611871779,-75.161916,39.936237,420912040091,4,False,False,-75.2759137,40.1191043,Restaurants and Other Eating Places
115,sg:6bc769be0ee348cbaa9e9a71a17471c5,-74.985341,40.063701,420912040091,6,False,True,-75.2759137,40.1191043,Gasoline Stations
116,sg:6b41791611b444fea603799f8995129d,-75.008732,40.102503999999996,420912040091,5,False,False,-75.2759137,40.1191043,Health and Personal Care Stores
117,sg:85f252e1acb24a84aa8a01f021f01449,-75.215128,40.028152,420912040091,4,False,False,-75.2759137,40.1191043,Grocery Stores
118,sg:76d123b75c504072be8cbe73086c223d,-75.16465,39.916145,421010372002,5,True,False,-75.1626612,39.9134049,Restaurants and Other Eating Places
119,sg:5286382c06c7489a92bd173043211683,-75.16841,39.929113,421010372002,7,True,True,-75.1626612,39.9134049,Offices of Physicians
120,sg:abb705a6da684d06b00ab54bb031be05,-75.167804,39.916561,421010372002,4,True,False,-75.1626612,39.9134049,Drinking Places (Alcoholic Beverages)
121,sg:586d0b02ca5b4d47bd828515ef9b2849,-75.15395500000001,39.948268,421010372002,4,True,False,-75.1626612,39.9134049,"Jewelry, Luggage, and Leather Goods Stores"
122,sg:bee2279676614802bc6419dc45c3dd44,-75.164586,39.915890000000005,421010372002,6,True,True,-75.1626612,39.9134049,Specialty Food Stores
123,sg:41e43cd158ec4ce587b694eb1b19c65d,-75.16311999999999,39.915113,421010372002,5,True,False,-75.1626612,39.9134049,Child Day Care Services
124,sg:7fecb86aa9104b7e96f563adb06de2e8,-75.173264,39.949841,421010372002,6,True,True,-75.1626612,39.9134049,Traveler Accommodation
125,sg:8e0ef256be364c7686be3efcf2d54c2c,-75.160584,39.912902,421010372002,9,True,True,-75.1626612,39.9134049,Personal Care Services
126,sg:f8da6ba92e13430985928e53aa0b60d7,-75.15590999999999,39.95626,421010372002,4,True,False,-75.1626612,39.9134049,Grocery Stores
127,sg:2ffb277c3d4041efbab10bb7319ae46e,-75.168361,39.947261,421010372002,4,True,False,-75.1626612,39.9134049,"Museums, Historical Sites, and Similar Institutions"
128,sg:78f828b6a88947a08281ea0511a54a09,-75.14115799999999,39.961321000000005,421010042024,4,True,False,-75.15316329999999,39.9190501,"Sporting Goods, Hobby, and Musical Instrument Stores"
129,sg:610c032b232e4f6483fd074aecc579f7,-75.155349,39.948386,421010042024,4,True,False,-75.15316329999999,39.9190501,Motion Picture and Video Industries
130,sg:d1792c53de5e449287515abd09a14e38,-75.150913,39.918782,421010042024,5,True,False,-75.15316329999999,39.9190501,Child Day Care Services
131,sg:fae04e0d70864073b286a924c51a245b,-75.170385,39.952768,421010042024,5,True,False,-75.15316329999999,39.9190501,Traveler Accommodation
132,sg:4821fc4b275544548485486bf97d12c3,-75.153896,39.919441,421010042024,9,True,True,-75.15316329999999,39.9190501,Restaurants and Other Eating Places
133,sg:7aec5d372f9c460a8522d5aef6e55977,-75.172791,39.960661,360470317023,4,False,False,-73.95171850000001,40.671714200000004,Other Miscellaneous Store Retailers
134,sg:865c589c32a2411c9cdcc5ee3ae22a79,-75.15096899999999,39.946861,420171020022,4,False,False,-75.18042170000001,40.3227213,Other Information Services
135,sg:40beba4b62e049cf907e748728aa6c4c,-75.169162,39.950209,420171020022,4,False,False,-75.18042170000001,40.3227213,Clothing Stores
136,sg:ef0816148f814be190a5371136751008,-75.222155,40.025143,420171020022,6,False,True,-75.18042170000001,40.3227213,Restaurants and Other Eating Places
137,sg:922ed87ca85f419db640fb66712b5406,-75.194532,40.299858,420171020022,4,False,False,-75.18042170000001,40.3227213,Other Amusement and Recreation Industries
138,sg:91fbe3de6aeb4ca59531190679e7e028,-75.13158299999999,39.993739,421010176014,8,True,True,-75.1328518,39.9941688,Elementary and Secondary Schools
139,sg:d8c97b80db7942a3ad9eeb056dbd3bac,-75.132723,39.992844,421010176014,17,True,True,-75.1328518,39.9941688,Restaurants and Other Eating Places
140,sg:4ad53e3ac5bd4b839fb9bc1076a0f978,-75.01352,40.083033,421010176014,6,True,True,-75.1328518,39.9941688,Support Activities for Air Transportation
141,sg:37ab37baa88f4346a403e7e447a7da56,-75.130517,39.993709,421010176014,9,True,True,-75.1328518,39.9941688,Bakeries and Tortilla Manufacturing
142,sg:ddc67253a7fd463d8ff2ffca7dc48148,-75.131488,39.994205,421010176014,22,True,True,-75.1328518,39.9941688,Restaurants and Other Eating Places
143,sg:a23dec4e71c94c42b4a2cbe3978e0031,-75.134084,39.994409000000005,421010176014,6,True,True,-75.1328518,39.9941688,Restaurants and Other Eating Places
144,sg:976bd3d6735b4df49f3ef6f3ef748629,-75.04048900000001,40.036133,421010378003,4,True,False,-75.11690490000001,39.9791643,Restaurants and Other Eating Places
145,sg:4365a6f0484544ae960a218086dc9ae9,-75.118432,39.977728000000006,421010378003,6,True,True,-75.11690490000001,39.9791643,Health and Personal Care Stores
146,sg:d6759f551e3c4233b25a9d5aa699a4c0,-75.16017,39.915754,421010378003,4,True,False,-75.11690490000001,39.9791643,Other Amusement and Recreation Industries
147,sg:e72fca5f95d043a093e88b7a31523e21,-75.067161,40.015802,421010378003,4,True,False,-75.11690490000001,39.9791643,Individual and Family Services
148,sg:11f2fbd16ae74cc48059d6200ec8fc84,-75.193876,40.008565999999995,421010378003,5,True,False,-75.11690490000001,39.9791643,Gasoline Stations
149,sg:7c8965d3a22d407485193a2b3faf9b89,-75.153707,39.948951,421010378003,4,True,False,-75.11690490000001,39.9791643,"Jewelry, Luggage, and Leather Goods Stores"
150,sg:c4ef8b7913ce4e7ab6cdc33c4e39b3f3,-75.119499,39.978153000000006,421010378003,4,True,False,-75.11690490000001,39.9791643,Restaurants and Other Eating Places
151,sg:9cbfcc6368c64d20a83c8d7f652b829f,-75.100662,39.987797,421010378003,4,True,False,-75.11690490000001,39.9791643,Building Material and Supplies Dealers
152,sg:a99e8a27b6bf414b906338f5b82f3c5b,-75.177068,39.945253,421010378003,4,True,False,-75.11690490000001,39.9791643,Restaurants and Other Eating Places
153,sg:a700e0b362924ac883da4cf6bf1b7e0e,-75.11734100000001,39.981032,421010378003,4,True,False,-75.11690490000001,39.9791643,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"
154,sg:facd4d455ac44de2be76b45732d90335,-75.14066600000001,39.923460999999996,421010378003,4,True,False,-75.11690490000001,39.9791643,Restaurants and Other Eating Places
155,sg:a0701c3d2eba4b6d9335e3245c57bec7,-75.14314,39.963133,421010367002,4,True,False,-75.1454753,39.9638927,Child Day Care Services
156,sg:5d02ec56fd1945fcaef7e970570c70fd,-75.175327,39.967166,421010367002,7,True,True,-75.1454753,39.9638927,Restaurants and Other Eating Places
157,sg:c9effe2672e24393a06bc24e67ef67e7,-75.14784499999999,39.959757,421010367002,7,True,True,-75.1454753,39.9638927,Department Stores
158,sg:69dbd05911354e669162d804cd9474c1,-75.144225,39.955744,421010367002,4,True,False,-75.1454753,39.9638927,Restaurants and Other Eating Places
159,sg:1e006fe318504f51b5da21dc43faabd9,-75.142676,39.963481,421010367002,4,True,False,-75.1454753,39.9638927,Restaurants and Other Eating Places
160,sg:cf287d51a47d493d820339d7650470cf,-75.146774,39.96345,421010367002,4,True,False,-75.1454753,39.9638927,Restaurants and Other Eating Places
161,sg:a607cdd59aaf480e8d7c5f4a770edcd8,-75.162757,39.93027,421010111004,4,True,False,-75.22815179999999,39.9754452,Restaurants and Other Eating Places
162,sg:832ccb6c8e854018bf7f86c28776756a,-75.22664,39.974332000000004,421010111004,9,True,True,-75.22815179999999,39.9754452,Couriers and Express Delivery Services
163,sg:39cfee73ac684a3e93de6c6c84b08c26,-75.233275,39.973671,421010111004,4,True,False,-75.22815179999999,39.9754452,Gasoline Stations
164,sg:4aa961fa31354e178383d67ffce3eb2e,-75.228961,39.973625,421010111004,8,True,True,-75.22815179999999,39.9754452,Other Amusement and Recreation Industries
165,sg:6620c046042f4a20889c8f5e922e404e,-75.227717,39.974777,421010111004,4,True,False,-75.22815179999999,39.9754452,Religious Organizations
166,sg:a55fa4027c1f48fab1aa8bd35976e3a2,-75.109162,40.038369,421010111004,5,True,False,-75.22815179999999,39.9754452,Restaurants and Other Eating Places
167,sg:5c7ce7b618894810a27989b7f2d14fa5,-75.22724699999999,39.975259,421010111004,12,True,True,-75.22815179999999,39.9754452,Other Amusement and Recreation Industries
168,sg:be19312d3a3a4bcd8abd268057977ea1,-75.068413,40.002525,421010184002,7,True,True,-75.06080390000001,40.0013454,Religious Organizations
169,sg:83dabac3d1ee40db825c9f6c9ed21581,-75.116164,39.976872,421010184002,5,True,False,-75.06080390000001,40.0013454,Bakeries and Tortilla Manufacturing
170,sg:a5f87ae02db24fa8b275efc075b99105,-75.08981999999999,39.99638,421010184002,4,True,False,-75.06080390000001,40.0013454,Restaurants and Other Eating Places
171,sg:0f093c8cc850446883bb047ddfe52875,-75.06496,40.002134000000005,421010184002,4,True,False,-75.06080390000001,40.0013454,Depository Credit Intermediation
172,sg:7ec39da31de343fdbeb32844a3276c9f,-75.14307,39.961056,421010184002,6,True,True,-75.06080390000001,40.0013454,Restaurants and Other Eating Places
173,sg:ebb11d1eb34c41f8bfd379dc98cc188a,-75.12767,39.989128,421010184002,4,True,False,-75.06080390000001,40.0013454,Child Day Care Services
174,sg:68903899ccde4cbcbfc8c50d14824573,-75.136279,39.969179,421010184002,12,True,True,-75.06080390000001,40.0013454,Restaurants and Other Eating Places
175,sg:aa82dc34b81d424d9403dffba4ef5640,-75.066498,40.003527000000005,421010184002,14,True,True,-75.06080390000001,40.0013454,Restaurants and Other Eating Places
176,sg:c21c54875a364b3f818c3da587e845f8,-75.066139,40.002319,421010184002,4,True,False,-75.06080390000001,40.0013454,Religious Organizations
177,sg:012c13903058481ab29c03b44d8e6b11,-75.07174599999999,40.002826,421010184002,8,True,True,-75.06080390000001,40.0013454,Automobile Dealers
178,sg:f1234c5dddbf452aac9abae69166a8ac,-75.069367,40.002459,421010184002,5,True,False,-75.06080390000001,40.0013454,Restaurants and Other Eating Places
179,sg:422f0a2fa1cc4693a348c297e58d0106,-75.126666,40.018003,421010184002,4,True,False,-75.06080390000001,40.0013454,Automotive Repair and Maintenance
